MIME type,compressed,Go compression package
application/vnd.nokia.radio-preset,FALSE,
application/sparql-query,FALSE,
application/rls-services+xml,FALSE,
application/rsd+xml,FALSE,
application/rss+xml,FALSE,
application/rtf,FALSE,
text/richtext,FALSE,
application/vnd.yamaha.smaf-audio,FALSE,
application/sbml+xml,FALSE,
application/vnd.ibm.secure-container,FALSE,
application/x-msschedule,FALSE,
application/vnd.lotus-screencam,FALSE,
application/scvp-cv-request,FALSE,
application/scvp-cv-response,FALSE,
text/vnd.curl.scurl,FALSE,
application/vnd.stardivision.draw,FALSE,
application/vnd.stardivision.calc,FALSE,
application/vnd.stardivision.impress,FALSE,
application/vnd.solent.sdkm+xml,FALSE,
application/sdp,FALSE,
application/vnd.stardivision.writer,FALSE,
application/vnd.seemail,FALSE,
application/vnd.sema,FALSE,
application/vnd.semd,FALSE,
application/vnd.semf,FALSE,
application/java-serialized-object,FALSE,
application/set-payment-initiation,FALSE,
application/set-registration-initiation,FALSE,
application/vnd.hydrostatix.sof-data,FALSE,
application/vnd.spotfire.sfs,FALSE,
application/vnd.stardivision.writer-global,FALSE,
text/sgml,FALSE,
application/x-sh,FALSE,
application/x-shar,FALSE,
application/shf+xml,FALSE,
text/vnd.wap.si,FALSE,
application/vnd.wap.sic,FALSE,
application/vnd.symbian.install,FALSE,
application/x-stuffit,FALSE,
application/x-stuffitx,FALSE,
application/vnd.koan,FALSE,
text/vnd.wap.sl,FALSE,
application/vnd.wap.slc,FALSE,
application/vnd.ms-powerpoint.slide.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.presentationml.slide,FALSE,
application/vnd.epson.salt,FALSE,
application/vnd.stardivision.math,FALSE,
application/smil+xml,FALSE,
application/x-font-snf,FALSE,
application/vnd.yamaha.smaf-phrase,FALSE,
application/x-futuresplash,FALSE,
text/vnd.in3d.spot,FALSE,
application/scvp-vp-response,FALSE,
application/scvp-vp-request,FALSE,
application/x-wais-source,FALSE,
application/sparql-results+xml,FALSE,
application/vnd.kodak-descriptor,FALSE,
application/vnd.epson.ssf,FALSE,
application/ssml+xml,FALSE,
application/vnd.sun.xml.calc.template,FALSE,
application/vnd.sun.xml.draw.template,FALSE,
application/vnd.wt.stf,FALSE,
application/vnd.sun.xml.impress.template,FALSE,
application/hyperstudio,FALSE,
application/vnd.ms-pki.stl,FALSE,
application/vnd.pg.format,FALSE,
application/vnd.sun.xml.writer.template,FALSE,
application/vnd.sus-calendar,FALSE,
application/x-sv4cpio,FALSE,
application/x-sv4crc,FALSE,
application/vnd.svd,FALSE,
image/svg+xml,TRUE,compress/flate
application/x-shockwave-flash,FALSE,
application/vnd.arastra.swi,FALSE,
application/vnd.sun.xml.calc,FALSE,
application/vnd.sun.xml.draw,FALSE,
application/vnd.sun.xml.writer.global,FALSE,
application/vnd.sun.xml.impress,FALSE,
application/vnd.sun.xml.math,FALSE,
application/vnd.sun.xml.writer,FALSE,
application/vnd.tao.intent-module-archive,FALSE,
application/x-tar,TRUE,archive/tar
application/vnd.3gpp2.tcap,FALSE,
application/x-tcl,FALSE,
application/vnd.smart.teacher,FALSE,
application/x-tex,FALSE,
application/x-texinfo,FALSE,
application/x-tex-tfm,FALSE,
image/tiff,FALSE,
application/vnd.tmobile-livetv,FALSE,
application/x-bittorrent,FALSE,
application/vnd.groove-tool-template,FALSE,
application/vnd.trid.tpt,FALSE,
application/vnd.trueapp,FALSE,
application/x-msterminal,FALSE,
text/tab-separated-values,FALSE,
application/x-font-ttf,FALSE,
application/vnd.simtech-mindmapper,FALSE,
application/vnd.genomatix.tuxedo,FALSE,
application/vnd.mobius.txf,FALSE,
application/vnd.ufdl,FALSE,
test/mimetype,FALSE,
application/vnd.umajin,FALSE,
application/vnd.unity,FALSE,
application/vnd.uoml+xml,FALSE,
text/uri-list,FALSE,
application/x-ustar,FALSE,
application/vnd.uiq.theme,FALSE,
text/x-uuencode,FALSE,
application/x-cdlink,FALSE,
text/x-vcard,FALSE,
application/vnd.groove-vcard,FALSE,
text/x-vcalendar,FALSE,
application/vnd.vcx,FALSE,
application/vnd.visionary,FALSE,
video/vnd.vivo,FALSE,
model/vrml,FALSE,
application/vnd.visio,FALSE,
application/vnd.vsf,FALSE,
model/vnd.vtu,FALSE,
application/voicexml+xml,FALSE,
application/x-doom,FALSE,
video/mp2t,FALSE,
audio/vnd.wav,FALSE,
audio/x-ms-wax,FALSE,
image/vnd.wap.wbmp,FALSE,
application/vnd.criticaltools.wbs+xml,FALSE,
application/vnd.wap.wbxml,FALSE,
application/vnd.ms-works,FALSE,
video/x-ms-wm,FALSE,
audio/x-ms-wma,FALSE,
application/x-ms-wmd,FALSE,
application/x-msmetafile,FALSE,
text/vnd.wap.wml,FALSE,
application/vnd.wap.wmlc,FALSE,
text/vnd.wap.wmlscript,FALSE,
application/vnd.wap.wmlscriptc,FALSE,
video/x-ms-wmv,FALSE,
video/x-ms-wmx,FALSE,
application/x-ms-wmz,TRUE,archive/zip
application/vnd.wordperfect,FALSE,
application/vnd.ms-wpl,FALSE,
application/vnd.wqd,FALSE,
application/x-mswrite,FALSE,
application/wsdl+xml,FALSE,
application/wspolicy+xml,FALSE,
application/vnd.webturbo,FALSE,
video/x-ms-wvx,FALSE,
application/vnd.hzn-3d-crossword,FALSE,
application/x-silverlight-app,FALSE,
application/vnd.xara,FALSE,
application/x-ms-xbap,FALSE,
application/vnd.fujixerox.docuworks.binder,FALSE,
image/x-xbitmap,FALSE,
application/vnd.syncml.dm+xml,FALSE,
application/vnd.adobe.xdp+xml,FALSE,
application/vnd.fujixerox.docuworks,FALSE,
application/xenc+xml,FALSE,
application/patch-ops-error+xml,FALSE,
application/vnd.adobe.xfdf,FALSE,
application/vnd.xfdl,FALSE,
application/xhtml+xml,FALSE,
image/vnd.xiff,FALSE,
application/vnd.ms-excel,FALSE,
application/vnd.ms-excel.addin.macroenabled.12,FALSE,
application/vnd.ms-excel.sheet.binary.macroenabled.12,FALSE,
application/vnd.ms-excel.sheet.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,FALSE,
